title,Price,Processor,RAM,Operating System,Display,Storage,Office,warrenty
DELL Inspiron Intel Core i3 11th Gen - (8 GB/SSD/512 GB SSD/windows 11 home) 3511 Laptop,"₹36,490",intel core i3 processor (11th gen),8 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,12 months
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 7 155H - (32 GB/SSD/1 TB SSD/windows 11 home) NP960XGK-K...,"₹1,76,990",intel core ultra 7 processor,32 gb lpddr5x ram,64 bit windows 11 operating system,40.64 cm (16 inch) touchscreen display,1 tb ssd,ms office home and student 2021,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 5 125H - (16 GB/SSD/512 GB SSD/windows 11 home) NP940XGK...,"₹1,26,990",intel core ultra 5 processor,16 gb lpddr5x ram,64 bit windows 11 operating system,35.56 cm (14 inch) touchscreen display,512 gb ssd,ms office home and student 2021,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
Apple 2023 MacBook Pro Apple M3 - (8 GB/SSD/512 GB SSD/macOS Sonoma) MR7J3HN/A,"₹1,59,790",apple m3 processor,8 gb unified memory ram,mac os operating system,35.56 cm (14 inch) display,512 gb ssd,no-office,1 Year Limited Warranty
HP Intel Core i3 11th Gen - (8 GB/SSD/512 GB SSD/windows 11 home) 15S-FQ2738TU Laptop,"₹31,815",intel core i3 processor (11th gen),8 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
Apple 2022 MacBook AIR Apple M2 - (8 GB/SSD/512 GB SSD/Mac OS Monterey) MLY43HN/A,"₹1,12,990",apple m2 processor,8 gb unified memory ram,mac os operating system,34.54 cm (13.6 inch) display,512 gb ssd,no-office,1 Year Limited Warranty
Acer Aspire 7 Intel Core i5 9th Gen 9300H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeFo...,"₹55,490",intel core i5 processor (9th gen),8 gb ddr4 ram,64 bit windows 10 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year International Travelers Warranty (ITW)
HP 15s (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/SSD/512 GB SSD/windows 11 home) 15-fc0026AU Thin and...,"₹37,999",amd ryzen 3 quad core processor,8 gb lpddr5 ram,64 bit windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 7 155H - (32 GB/SSD/1 TB SSD/windows 11 home) NP940XGK-K...,"₹1,66,990",intel core ultra 7 processor,32 gb lpddr5x ram,64 bit windows 11 operating system,35.56 cm (14 inch) touchscreen display,1 tb ssd,ms office home and student 2021,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
MSI Modern 15 Intel Core i7 12th Gen 1255U - (16 GB/SSD/512 GB SSD/windows 11 home) Modern 15 B12MO-81...,"₹54,990",intel core i7 processor (12th gen),16 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Carry-in Warranty
ASUS Vivobook GO 14 (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/SSD/512 GB SSD/windows 11 home) E1404FA...,"₹33,990",amd ryzen 3 quad core processor,8 gb lpddr5 ram,windows 11 home h&s 2021,35.81 cm (14.1 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
HP (15s-fq5007TU) Intel Core i3 12th Gen 1215U - (8 GB/SSD/512 GB SSD/windows 11 home) 15s-fq5327TU Th...,"₹38,990",intel core i3 processor (12th gen),8 gb ddr4 ram,windows 11 home,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
SAMSUNG Galaxy Book3 Intel Core i7 13th Gen 1355U - (16 GB/SSD/512 GB SSD/windows 11 home) Galaxy Book...,"₹71,999",intel core i7 processor (13th gen),16 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
HP Pavilion (2024) AMD Ryzen 5 Dual Core 5500U - (8 GB/SSD/512 GB SSD/windows 11 home) 15-eh1137AU Thi...,"₹50,990",amd ryzen 5 dual core processor,8 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/SSD/256 GB SSD/windows 11 home) A324-51 Thin and Li...,"₹30,990",intel core i3 processor (12th gen),8 gb ddr4 ram,64 bit windows 11 operating system,35.56 cm (14 inch) display,256 gb ssd,no-office,1 Year Domestic Warranty
HP Pavilion Aero (2023) AMD Ryzen 5 Hexa Core 7535U - (16 GB/SSD/512 GB SSD/windows 11 home) 13-BE2056...,"₹72,000",amd ryzen 5 hexa core processor,16 gb lpddr5 ram,windows 11 operating system,33.78 cm (13.3 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
ASUS Vivobook GO 14 (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/SSD/512 GB SSD/windows 11 home) E1404FA...,"₹33,990",amd ryzen 3 quad core processor,8 gb lpddr5 ram,windows 11 home h&s 2021,35.81 cm (14.1 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/SSD/512 GB SSD/windows 11 home) NP750XGK-KS1IN / NP750X...,"₹73,990",intel core 5 processor,8 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/SSD/512 GB SSD/windows 11 home) NP750XGK-KG1IN / NP750X...,"₹73,990",intel core 5 processor,8 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
HP Pavilion (2024) AMD Ryzen 5 Dual Core 5500U - (8 GB/SSD/512 GB SSD/windows 11 home) 15-eh1137AU Thi...,"₹50,990",amd ryzen 5 dual core processor,8 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Onsite Warranty
"ASUS Vivobook S 15 OLED (2024) - AI Powered, Intel EVO H-Series, Intel Core Ultra 5 125H - (16 GB/SSD/...","₹96,990",intel core ultra 5 processor,16 gb lpddr5x ram,windows 11 home,39.62 cm (15.6 inch) display,1 tb ssd,no-office,1 Year Onsite Warranty
SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/SSD/512 GB SSD/windows 11 home) NP750XGK-KS2IN / NP750...,"₹78,990",intel core 5 processor,16 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,512 gb ssd,no-office,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 7 155H - (16 GB/SSD/512 GB SSD/windows 11 home) NP940XGK...,"₹1,34,990",intel core ultra 7 processor,16 gb lpddr5x ram,64 bit windows 11 operating system,35.56 cm (14 inch) touchscreen display,512 gb ssd,ms office home and student 2021,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
HP 245G9 841W7PA SILVER AMD Ryzen 3 Dual Core - (8 GB/SSD/512 GB SSD/DOS) 247 G8 Notebook,"₹26,890",amd ryzen 3 dual core processor,8 gb ddr4 ram,dos,35.56 cm (14 inch) display,512 gb ssd,no-office,1 year Domestic warranty
